rank_sn,percentile_sn,ticker,review_label,review_status,quintile,comp_sn,comp_raw,comp_sn_z,sector,sector_is_unknown,sector_repaired,before_rank_sn,rank_delta,before_review_label,cohort,liquidity_proxy,fcf_to_assets,avail_fcf_to_assets,operating_accruals,avail_operating_accruals
1,100.0,EXPE,LONG,PAPER_REVIEW_ONLY,5,8.76583,9.09173,5.1216,Consumer Discretionary,False,True,1,0,LONG,new,319234945.75545,0.14161,2026-05-08,-0.1488,2026-05-08
2,99.79,JPM,LONG,PAPER_REVIEW_ONLY,5,7.09546,6.45231,4.1455,Financials,False,False,3,1,LONG,old,1614580632.36823,0.08325,2026-02-13,-0.08031,2026-02-13
3,99.59,BKNG,LONG,PAPER_REVIEW_ONLY,5,7.05134,7.48586,4.1197,Consumer Discretionary,False,False,4,1,LONG,old,883946761.92542,0.11212,2026-04-28,-0.07691,2026-04-28
4,99.38,EA,LONG,PAPER_REVIEW_ONLY,5,6.06291,8.18347,3.5421,Communication Services,False,True,2,-2,LONG,new,356483975.58672,0.13343,2026-02-03,-0.13087,2026-02-03
5,99.17,STX,LONG,PAPER_REVIEW_ONLY,5,5.36829,5.5367,3.1362,Information Technology,False,True,5,0,LONG,old,305711234.37018,0.10718,2026-04-29,-0.04116,2026-04-29
6,98.96,APP,LONG,PAPER_REVIEW_ONLY,5,5.0787,4.9552,2.967,Information Technology,False,True,8,2,LONG,old,958690151.55417,0.16755,2026-05-06,-0.01113,2026-05-06
7,98.76,RELX,LONG,PAPER_REVIEW_ONLY,5,4.75745,4.60116,2.7793,Industrials,False,True,9,2,LONG,old,24333084.99082,0.1005,2026-02-19,-0.02766,2026-02-19
8,98.55,LULU,LONG,PAPER_REVIEW_ONLY,5,4.4089,5.19578,2.5756,Consumer Discretionary,False,True,7,-1,LONG,new,453086138.99762,0.11348,2026-03-17,-0.06575,2026-03-17
9,98.34,IP,LONG,PAPER_REVIEW_ONLY,5,4.01243,2.53384,2.3439,Materials,False,True,30,21,LONG,new,167255542.46503,0.00672,2026-02-27,-0.08664,2026-02-27
10,98.14,PM,LONG,PAPER_REVIEW_ONLY,5,3.88587,3.44856,2.2699,Consumer Staples,False,False,18,8,LONG,old,446906305.04345,0.06165,2026-02-06,-0.03712,2026-02-06
11,97.93,NOW,LONG,PAPER_REVIEW_ONLY,5,3.8313,4.08509,2.238,Information Technology,False,False,16,5,LONG,old,784865169.87267,0.06271,2026-04-23,-0.04926,2026-04-23
12,97.72,SNDK,LONG,PAPER_REVIEW_ONLY,5,3.55072,3.58237,2.0741,Information Technology,False,True,12,0,LONG,old,5533086460.11645,0.17529,2026-05-01,0.03379,2026-05-01
13,97.52,DXCM,LONG,PAPER_REVIEW_ONLY,5,3.41381,3.1326,1.9941,Health Care,False,True,19,6,LONG,new,658743622.53023,0.06769,2026-04-30,-0.04916,2026-04-30
14,97.31,EXE,LONG,PAPER_REVIEW_ONLY,5,3.41343,3.5162,1.9939,Energy,False,True,13,-1,LONG,new,207369272.3459,0.05742,2026-04-28,-0.04211,2026-04-28
15,97.1,CHRW,LONG,PAPER_REVIEW_ONLY,5,3.26801,3.19116,1.9089,Industrials,False,True,17,2,LONG,new,134570694.32006,0.05978,2026-02-13,-0.03343,2026-02-13
16,96.89,EQT,LONG,PAPER_REVIEW_ONLY,5,3.17681,3.28109,1.8556,Energy,False,True,14,-2,LONG,new,250876696.41551,0.05892,2026-04-22,-0.03601,2026-04-22
17,96.69,LYV,LONG,PAPER_REVIEW_ONLY,5,3.0021,5.45976,1.7535,Communication Services,False,True,6,-11,LONG,new,170609749.27673,0.07787,2026-05-05,-0.10465,2026-05-05
18,96.48,IVZ,LONG,PAPER_REVIEW_ONLY,5,2.95738,2.47108,1.7274,Financials,False,True,29,11,LONG,new,95898438.00682,0.01595,2026-02-24,-0.05599,2026-02-24
