ticker,in_price_cache,in_sp500_list,has_earnings_cache
AAPL,True,True,True
ABBV,True,True,True
ABNB,True,True,True
ABT,True,True,True
ACN,True,True,True
ADBE,True,True,True
ADI,True,True,True
ADP,True,True,True
AEM,True,False,True
AEP,True,True,True
AFL,True,True,True
ALAB,True,False,True
AMAT,True,True,True
AMD,True,True,True
AMGN,True,True,True
AMT,True,True,True
AMX,True,False,True
AMZN,True,True,True
ANET,True,True,True
AON,True,True,True
APD,True,True,True
APH,True,True,True
APO,True,True,True
APP,True,True,True
ARM,True,False,True
ASML,True,False,True
ASX,True,False,True
ATEYY,True,False,True
AVGO,True,True,True
AXP,True,True,True
AZN,True,False,True
B,True,False,True
BA,True,True,True
BABA,True,False,True
BAC,True,True,True
BAESY,True,False,True
BAM,True,False,True
BBVA,True,False,True
BCS,True,False,True
BE,True,False,True
BHP,True,False,True
BKNG,True,True,True
BKR,True,True,True
BLK,True,True,True
BMO,True,False,True
BMY,True,True,True
BN,True,False,True
BNS,True,False,True
BNY,True,True,True
BP,True,False,True
BSX,True,True,True
BTI,True,False,True
BUD,True,False,True
BX,True,True,True
C,True,True,True
CAT,True,True,True
CB,True,True,True
CDNS,True,True,True
CEG,True,True,True
CI,True,True,True
CIEN,True,True,True
CL,True,True,True
CM,True,False,True
CMCSA,True,True,True
CME,True,True,True
CMI,True,True,True
CNI,True,False,True
CNQ,True,False,True
COF,True,True,True
COHR,True,True,True
COP,True,True,True
COST,True,True,True
CP,True,False,True
CRH,True,True,True
CRM,True,True,True
CRWD,True,True,True
CSCO,True,True,True
CSX,True,True,True
CTAS,True,True,True
CVNA,True,True,True
CVS,True,True,True
CVX,True,True,True
CYATY,True,False,True
D,True,True,True
DASH,True,True,True
DB,True,False,True
DDOG,True,True,True
DE,True,True,True
DELL,True,True,True
DHR,True,True,True
DIS,True,True,True
DLR,True,True,True
DTEGY,True,False,True
DUK,True,True,True
E,True,False,True
ECL,True,True,True
ELV,True,True,True
EMR,True,True,True
ENB,True,False,True
EOG,True,True,True
EPD,True,False,True
EQIX,True,True,True
EQNR,True,False,True
ET,True,False,True
ETN,True,True,True
F,True,True,True
FCX,True,True,True
FDX,True,True,True
FIX,True,True,True
FTNT,True,True,True
GD,True,True,True
GE,True,True,True
GEV,True,True,True
GILD,True,True,True
GLW,True,True,True
GM,True,True,True
GOOGL,True,True,True
GS,True,True,True
GSK,True,False,True
GWW,True,True,True
HCA,True,True,True
HD,True,True,True
HDB,True,False,True
HLT,True,True,True
HON,True,True,True
HOOD,True,True,True
HPE,True,True,True
HSBC,True,False,True
HTHIY,True,False,True
HWM,True,True,True
IBKR,True,True,True
IBM,True,True,True
IBN,True,False,True
ICE,True,True,True
IFNNY,True,False,True
IMO,True,False,True
ING,True,False,True
INTC,True,True,True
INTU,True,True,True
ISRG,True,True,True
ITUB,True,False,True
ITW,True,True,True
JCI,True,True,True
JNJ,True,True,True
JPM,True,True,True
KEYS,True,True,True
KKR,True,True,True
KLAC,True,True,True
KMI,True,True,True
KO,True,True,True
KXIAY,True,False,True
LIN,True,True,True
LITE,True,True,True
LLY,True,True,True
LMT,True,True,True
LOW,True,True,True
LRCX,True,True,True
LSEGY,True,False,True
LYG,True,False,True
MA,True,True,True
MAR,True,True,True
MCD,True,True,True
MCK,True,True,True
MCO,True,True,True
MDLN,True,False,True
MDLZ,True,True,True
MDT,True,True,True
MELI,True,False,True
META,True,True,True
MFC,True,False,True
MFG,True,False,True
MGCLY,True,False,True
MMM,True,True,True
MNST,True,True,True
MO,True,True,True
MPC,True,True,True
MPWR,True,True,True
MRK,True,True,True
MRSH,True,True,True
MRVL,True,True,True
MS,True,True,True
MSFT,True,True,True
MSI,True,True,True
MU,True,True,True
MUFG,True,False,True
NBIS,True,False,True
NEE,True,True,True
NEM,True,True,True
NET,True,False,True
NFLX,True,True,True
NGG,True,False,True
NKE,True,True,True
NOC,True,True,True
NOK,True,False,True
NOW,True,True,True
NSC,True,True,True
NTES,True,False,True
NU,True,False,True
NUE,True,True,True
NVDA,True,True,True
NVO,True,False,True
NVS,True,False,True
NWG,True,False,True
NXPI,True,True,True
O,True,True,True
ORCL,True,True,True
ORLY,True,True,True
PANW,True,True,True
PBR,True,False,True
PCAR,True,True,True
PDD,True,False,True
PEP,True,True,True
PFE,True,True,True
PG,True,True,True
PGR,True,True,True
PH,True,True,True
PLD,True,True,True
PLTR,True,True,True
PM,True,True,True
PNC,True,True,True
PSX,True,True,True
PWR,True,True,True
QCOM,True,True,True
RACE,True,False,True
RCL,True,True,True
REGN,True,True,True
RELX,True,False,True
RIO,True,False,True
RKLB,True,False,True
ROST,True,True,True
RSG,True,True,True
RTNTF,True,False,True
RTX,True,True,True
RY,True,False,True
SAN,True,False,True
SAP,True,False,True
SBUX,True,True,True
SCCO,True,False,True
SCHW,True,True,True
SHEL,True,False,True
SHOP,True,False,True
SHW,True,True,True
