ticker,in_price_cache,in_sp500_list,has_earnings_cache,scoreable_after_price_only,needs_earnings_too
AOS,False,True,False,False,True
AES,False,True,False,False,True
A,False,True,False,False,True
AKAM,False,True,False,False,True
ALB,False,True,False,False,True
ARE,False,True,False,False,True
ALGN,False,True,False,False,True
ALLE,False,True,False,False,True
LNT,False,True,False,False,True
ALL,False,True,False,False,True
GOOG,False,True,False,False,True
AMCR,False,True,False,False,True
AEE,False,True,False,False,True
AIG,False,True,False,False,True
AWK,False,True,False,False,True
AMP,False,True,False,False,True
AME,False,True,False,False,True
APA,False,True,False,False,True
APTV,False,True,False,False,True
ACGL,False,True,False,False,True
ADM,False,True,False,False,True
ARES,False,True,False,False,True
AJG,False,True,False,False,True
AIZ,False,True,False,False,True
ATO,False,True,False,False,True
ADSK,False,True,False,False,True
AZO,False,True,False,False,True
AVB,False,True,False,False,True
AVY,False,True,False,False,True
AXON,False,True,False,False,True
BALL,False,True,False,False,True
BAX,False,True,False,False,True
BDX,False,True,False,False,True
BRK.B,False,True,False,False,True
BBY,False,True,False,False,True
TECH,False,True,False,False,True
BIIB,False,True,False,False,True
XYZ,False,True,False,False,True
BR,False,True,False,False,True
BRO,False,True,False,False,True
BF.B,False,True,False,False,True
BLDR,False,True,False,False,True
BG,False,True,False,False,True
BXP,False,True,False,False,True
CHRW,False,True,False,False,True
CPT,False,True,False,False,True
CAH,False,True,False,False,True
CCL,False,True,False,False,True
CARR,False,True,False,False,True
CASY,False,True,False,False,True
CBOE,False,True,False,False,True
CBRE,False,True,False,False,True
CDW,False,True,False,False,True
COR,False,True,False,False,True
CNC,False,True,False,False,True
CNP,False,True,False,False,True
CF,False,True,False,False,True
CRL,False,True,False,False,True
CHTR,False,True,False,False,True
CMG,False,True,False,False,True
CHD,False,True,False,False,True
CINF,False,True,False,False,True
CFG,False,True,False,False,True
CLX,False,True,False,False,True
CMS,False,True,False,False,True
CTSH,False,True,False,False,True
COIN,False,True,False,False,True
CAG,False,True,False,False,True
ED,False,True,False,False,True
STZ,False,True,False,False,True
COO,False,True,False,False,True
CPRT,False,True,False,False,True
CPAY,False,True,False,False,True
CTVA,False,True,False,False,True
CSGP,False,True,False,False,True
CCI,False,True,False,False,True
DRI,False,True,False,False,True
DVA,False,True,False,False,True
DECK,False,True,False,False,True
DAL,False,True,False,False,True
DVN,False,True,False,False,True
DXCM,False,True,False,False,True
FANG,False,True,False,False,True
DG,False,True,False,False,True
DLTR,False,True,False,False,True
DPZ,False,True,False,False,True
DOV,False,True,False,False,True
DOW,False,True,False,False,True
DHI,False,True,False,False,True
DTE,False,True,False,False,True
